"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|PL","Actual Total Load [MW] - BZN|PL"
"01.01.2023 00:00 - 01.01.2023 01:00","14037","13272"
"01.01.2023 01:00 - 01.01.2023 02:00","13136","12509"
"01.01.2023 02:00 - 01.01.2023 03:00","12580","11845"
"01.01.2023 03:00 - 01.01.2023 04:00","12110","11462"
"01.01.2023 04:00 - 01.01.2023 05:00","11967","11454"
"01.01.2023 05:00 - 01.01.2023 06:00","12004","11561"
"01.01.2023 06:00 - 01.01.2023 07:00","12123","11651"
"01.01.2023 07:00 - 01.01.2023 08:00","12033","11707"
"01.01.2023 08:00 - 01.01.2023 09:00","11945","11897"
"01.01.2023 09:00 - 01.01.2023 10:00","12375","12449"
"01.01.2023 10:00 - 01.01.2023 11:00","12980","13042"
"01.01.2023 11:00 - 01.01.2023 12:00","13533","13588"
"01.01.2023 12:00 - 01.01.2023 13:00","14068","14027"
"01.01.2023 13:00 - 01.01.2023 14:00","14662","14417"
"01.01.2023 14:00 - 01.01.2023 15:00","14870","14699"
"01.01.2023 15:00 - 01.01.2023 16:00","15100","15123"
"01.01.2023 16:00 - 01.01.2023 17:00","16545","16191"
"01.01.2023 17:00 - 01.01.2023 18:00","17002","16482"
"01.01.2023 18:00 - 01.01.2023 19:00","17078","16577"
"01.01.2023 19:00 - 01.01.2023 20:00","17097","16507"
"01.01.2023 20:00 - 01.01.2023 21:00","16855","16161"
"01.01.2023 21:00 - 01.01.2023 22:00","16237","15468"
"01.01.2023 22:00 - 01.01.2023 23:00","15549","14698"
"01.01.2023 23:00 - 02.01.2023 00:00","14589","13749"
"02.01.2023 00:00 - 02.01.2023 01:00","13750","13061"
"02.01.2023 01:00 - 02.01.2023 02:00","13200","12670"
"02.01.2023 02:00 - 02.01.2023 03:00","12900","12463"
"02.01.2023 03:00 - 02.01.2023 04:00","12950","12498"
"02.01.2023 04:00 - 02.01.2023 05:00","13750","12941"
"02.01.2023 05:00 - 02.01.2023 06:00","15500","14033"
"02.01.2023 06:00 - 02.01.2023 07:00","19150","17060"
"02.01.2023 07:00 - 02.01.2023 08:00","20350","19174"
"02.01.2023 08:00 - 02.01.2023 09:00","21450","20275"
"02.01.2023 09:00 - 02.01.2023 10:00","22250","20899"
"02.01.2023 10:00 - 02.01.2023 11:00","22600","20931"
"02.01.2023 11:00 - 02.01.2023 12:00","22750","20995"
"02.01.2023 12:00 - 02.01.2023 13:00","23000","21084"
"02.01.2023 13:00 - 02.01.2023 14:00","23300","21115"
"02.01.2023 14:00 - 02.01.2023 15:00","22800","20818"
"02.01.2023 15:00 - 02.01.2023 16:00","22850","21139"
"02.01.2023 16:00 - 02.01.2023 17:00","23500","22016"
"02.01.2023 17:00 - 02.01.2023 18:00","23450","22086"
"02.01.2023 18:00 - 02.01.2023 19:00","23150","21804"
"02.01.2023 19:00 - 02.01.2023 20:00","22950","21579"
"02.01.2023 20:00 - 02.01.2023 21:00","22600","21133"
"02.01.2023 21:00 - 02.01.2023 22:00","21550","19844"
"02.01.2023 22:00 - 02.01.2023 23:00","20050","18407"
"02.01.2023 23:00 - 03.01.2023 00:00","18600","17092"
"03.01.2023 00:00 - 03.01.2023 01:00","15701","16199"
"03.01.2023 01:00 - 03.01.2023 02:00","14956","15568"
"03.01.2023 02:00 - 03.01.2023 03:00","14707","15260"
"03.01.2023 03:00 - 03.01.2023 04:00","14688","15293"
"03.01.2023 04:00 - 03.01.2023 05:00","14912","15725"
"03.01.2023 05:00 - 03.01.2023 06:00","15813","16607"
"03.01.2023 06:00 - 03.01.2023 07:00","18730","19031"
"03.01.2023 07:00 - 03.01.2023 08:00","20820","20891"
"03.01.2023 08:00 - 03.01.2023 09:00","21496","21600"
"03.01.2023 09:00 - 03.01.2023 10:00","21848","22187"
"03.01.2023 10:00 - 03.01.2023 11:00","21813","22167"
"03.01.2023 11:00 - 03.01.2023 12:00","22024","22222"
"03.01.2023 12:00 - 03.01.2023 13:00","22074","22252"
"03.01.2023 13:00 - 03.01.2023 14:00","22352","22226"
"03.01.2023 14:00 - 03.01.2023 15:00","22049","22031"
"03.01.2023 15:00 - 03.01.2023 16:00","22113","22238"
"03.01.2023 16:00 - 03.01.2023 17:00","23120","23150"
"03.01.2023 17:00 - 03.01.2023 18:00","23178","23203"
"03.01.2023 18:00 - 03.01.2023 19:00","22824","22975"
"03.01.2023 19:00 - 03.01.2023 20:00","22560","22792"
"03.01.2023 20:00 - 03.01.2023 21:00","21940","22089"
"03.01.2023 21:00 - 03.01.2023 22:00","20681","20809"
"03.01.2023 22:00 - 03.01.2023 23:00","19226","19307"
"03.01.2023 23:00 - 04.01.2023 00:00","17793","17998"
"04.01.2023 00:00 - 04.01.2023 01:00","16800","16935"
"04.01.2023 01:00 - 04.01.2023 02:00","16050","16426"
"04.01.2023 02:00 - 04.01.2023 03:00","15700","16085"
"04.01.2023 03:00 - 04.01.2023 04:00","15750","16102"
"04.01.2023 04:00 - 04.01.2023 05:00","16250","16583"
"04.01.2023 05:00 - 04.01.2023 06:00","17800","17477"
"04.01.2023 06:00 - 04.01.2023 07:00","21150","20125"
"04.01.2023 07:00 - 04.01.2023 08:00","21950","22094"
"04.01.2023 08:00 - 04.01.2023 09:00","22700","22771"
"04.01.2023 09:00 - 04.01.2023 10:00","22750","22910"
"04.01.2023 10:00 - 04.01.2023 11:00","22900","22506"
"04.01.2023 11:00 - 04.01.2023 12:00","23100","22533"
"04.01.2023 12:00 - 04.01.2023 13:00","23250","22831"
"04.01.2023 13:00 - 04.01.2023 14:00","23450","23141"
"04.01.2023 14:00 - 04.01.2023 15:00","23100","22935"
"04.01.2023 15:00 - 04.01.2023 16:00","23400","22886"
"04.01.2023 16:00 - 04.01.2023 17:00","24000","23544"
"04.01.2023 17:00 - 04.01.2023 18:00","24000","23307"
"04.01.2023 18:00 - 04.01.2023 19:00","23600","22966"
"04.01.2023 19:00 - 04.01.2023 20:00","23350","22719"
"04.01.2023 20:00 - 04.01.2023 21:00","22900","22195"
"04.01.2023 21:00 - 04.01.2023 22:00","21800","20734"
"04.01.2023 22:00 - 04.01.2023 23:00","20250","19135"
"04.01.2023 23:00 - 05.01.2023 00:00","18800","17774"
"05.01.2023 00:00 - 05.01.2023 01:00","17150","16697"
"05.01.2023 01:00 - 05.01.2023 02:00","16400","16136"
"05.01.2023 02:00 - 05.01.2023 03:00","16050","15887"
